B02730,R176897,D1782E,"An extempore sermon, preached upon malt, by a way of caution to good fellows; at the request of two schollars, / by a lover of ale, out of a hallow [sic] tree.","Lover of ale.; Dod, John, 1549?-1645.",s n,No pubplace,Great Britain; Scotland; Temperance; England; 17th century.; Alcoholism; Broadsides; Early works to 1800.,1691
A85121,R208684,F443,"A plain-dealing, and plain-meaning sermon, preach't in the parish church of St. Nicholas, Bristol, April. 6. 1660. Being the day appointed by the Parliament for publique fasting and humiliation for the sins of the nation, &c. Together with a prefatory epistle, and subsequent vindication both of the sermon, and author. Wherein (besides an apology for home and plain-preaching) you have something offered to allay the heat of thier stomacks, and to temper the tongues of those, who (being ignorant in scripture) reproach and revile Presbytery and Presbyters. With some hints at Satans subtlety, and the mischief of those people, who brand zeal for God and truth (in free, home, and faithfull preaching) with the reproachful names of anger, passion, and railing.","Farmer, Ralph.",printed by S Griffin and are to be sold by Thomas Wall by the Tolezey in Cornstreet in Bristol,London,"Religious tolerance; Presbyterianism; England; 17th century.; Sermons, English; Early works to 1800.",1660
A81299,R208385,D1018,"The doctrine and conversation of Iohn Baptist delivered in a sermon, at a visitation holden at Baldock, in the County of Hertford : Decemb. 9. 1641. Contradicted by many of the auditors. / By Hen. Denne, an unworthy Minister of Christ Iesus, at Pyrton in Hertfordshire.","Denne, Henry, 1606 or 7-1660?",Printed by Tho Badger,London,"the Baptist, Saint; Sermons; 17th century.; John,; Early works to 1800.; Sermons, English",1642
A86901,R22381,H3734,"The sermon and prophesie of James Hunt: concerning the marriage of the Lambe, and of the confounding of the Whore of Babylon, and to shew by what means she shall be bought to confusion. Whereof I James Hunt humbly beseech the Honourable House of Parliament, for the mercies of God, that you will read this book with observation, for to see and prove whether it be agreeable to the honour and glory of God, and the confounding of the devill.","Hunt, James, 17th cent.",s n,London,"Great Britain; 17th century; History; Sermons; Early works to 1800.; Civil War, 1642-1649; Sermons, English",1642
A80515,R206740,C619,"Astrology proved harmless, useful, pious. Being a sermon / written by Richard Carpenter.","Carpenter, Richard, d. 1670?",Printed by Ja Cottrel for John Allen at the Rising Sun and Joseph Barber at the Lamb in Paul s Church yard,London,"Genesis I, 14; Astrology; O.T.; Sermons.; Bible.; 17th century.; Early works to 1800.; Sermons, English",1657
A85953,R208881,G6083,"Gospel-revelation in three treatises, viz, 1 The nature of God. 2 The excellencies of Christ. And, 3 The Excellency of mans immortal soul. By Jeremiah Burroughs, late preacher of the gospel at Stepney, and Giles-Cripple-gate, London. Published by William Greenhill. William Bridge. Philip Nye. John Yates. Matthew Mead. William Adderly.","Burroughs, Jeremiah, 1599-1646.",printed for Nath Brook at the Angel in Cornhill and Thomas Parkhurst at the three Crowns over against the Great Conduit at the lower end of Cheapside,London,"17th century.; Immortality; Early works to 1800.; God; Jesus Christ; Attributes; Sermons, English",1660
A87671,R29849,K254,"Orders given out; the word, stand fast. As it was lately delivered in a farewell sermon / by Major Samuel Kem, to the officers and souldiers of his regiment in Bristoll. Novemb. 8. 1646.","Kem, Samuel, 1604-1670.",Printed by I M for Michael Spark and are to be sold at the sign of the blue Bible in Green Arbour,London,"Corinthians, 1st XVI, 13-14; Sermons.; Sermons; Bible.; 17th century.; Military discipline; Early works to 1800.; Sermons, English; N.T.",1646
A87807,R204676,K679,"Israel and England paralelled, in a sermon preached before the honorable society of Grayes-Inne, upon Sunday in the afternoon, Aprill 16. 1648. / By Paul Knell, Master in Arts of Clare-Hall in Cambridge. Sometimes chaplaine to a regiment of curiasiers in his Majesties Army.","Knell, Paul, 1615?-1664.",s n,London,"Great Britain; O.T.; History; Sermons; Bible.; 17th century.; Sermons, English; Amos III, 2; Civil War, 1642-1649; Early works to 1800.",1648
A85438,R207633,G1256,"A sermon of the fifth monarchy. Proving by invincible arguments, that the saints shall have a kingdom here on earth, which is yet to come, after the fourth monarchy is destroy'd by the sword of the saints, the followers of the lamb. / Preached by Mr. Tho. Goodwin, on Rev. 5. 9, 10. By which it will appear, that it is for the same truth (that formerly was so much contended for) that some of the people of God suffer at this day. Published for the truths sake.","Goodwin, Thomas, 1600-1680.",for Livewel Chapman at the Crown in Popes head Alley,Printed at London,"Revelations V, 9-10; Sermons.; Bible.; 17th century.; Sermons, English; N.T.",1654
A86325,R2493,H1838,"The glory and beauty of Gods portion: set forth in a sermon preached before the honourable House of Commons at the publique fast, Iune 26. 1644. / By Gaspar Hickes, Pastour of Lanracke in Cornwall, a member of the Assembly of Divines.","Hickes, Gaspar, 1605-1677.",Printed by G M for Christopher Meredith at the Signe of the Crane in Pauls Church yard,London,"Isaiah XXVIII, 5-6; O.T.; Fast-day sermons; Sermons; Bible.; 17th century.; Early works to 1800.",1644
A84072,R227794,E322A,"A guide to the humble: or an exposition on the common prayer Viz. I. The visitation of the sick. II. The Communion of the sick. III. The burial of the dead. IV. The thanksgiving of women after child-birth. V. The denouncing of God's anger and judgments against sinners, with prayers to be used on the first day of Lent, and at other times. By Thomas Elborow.","Elborow, Thomas.",printed for Henry Brome at the Gun in St Pauls Church yard,London,"Christian literature; Book of common prayer; Church of England.; Criticism, interpretation, etc.; Early works to 1800.",1675
A86578,R202560,H2878,"The pillar and pattern of Englands deliverances. Presented in a sermon to the Right Honourable the Lord Mayor and aldermen, with the several companies of the City of London, in their solemn meeting at Pauls on the Lords Day, Novem. 5. 1654. Being also the first Sabbath after his Lordships entrance upon his majoralty. / By Thomas Horton Doctor in Divinity, and professor thereof in Gresham-Colledge London.","Horton, Thomas, d. 1673.",by R I for Jo Clark and are to be sold at the entrance into Mercers Chappel at the lower end of Cheap side,Printed at London,"17th century; O.T.; History; Sermons.; Bible.; 17th century.; Early works to 1800.; London (England); Sermons, English; Numbers XXIII, 23",1654
A88701,R207649,L441,"The attributes of God unfolded, and applied. Wherein are handled the 1 Life 2 Perfection 3 Holiness 4 Benignitie 5 Mercy 6 Truth 7 Wisdome 8 Power 9 Justice of God. 10 Love 11 Hatred 12 Anger 13 Independencie 14 Simplicitie 15 Eternitie 16 Infiniteness 17 Immutability 18 Immensity of God. / Delivered in sundry sermons, at Tavistocke in Devon: By Thomas Larkham, preacher  of the word of God, and pastour of the congregation there. Divided into three parts.","Larkham, Thomas, 1602-1669.",Printed for Francis Eglesfield and are to be sold at the Marygold in Pauls Church yard,London,Attributes; Early works to 1800.; God,1656
A86505,R207844,H2577,"A sermon preached before the Parliament, the Councill of State, the Lord Major, aldermen, and Common Councill of the city of London, and the officers of the Army, in Christ-Church London, Octob. the 6th. A.D. 1659. Being the publick day of Thanksgiving appointed by the Parliament, to be celebrated in the cities of London and Westminster, and parts adjacent, for the suppression of the northern insurrection. By Doctor Nathanael Homes.","Homes, Nathanael, 1599-1678.",ptinted sic by J B for Edward Brewster at the Crane in Paul s Church yard,London,"17th century.; Sermons, English",1659
A80811,R201801,C692,"The magistrates authority, in matters of religion; and the souls immortality, vindicated in two sermons preach'd at York. / By Christopher Cartvvright, B.D. and Minister of Gods Word there.","Leigh, Edward, 1602-1671.; Cartwright, Christopher, 1602-1658.",Printed for Tho Underhill and are to be sold at his shop at the sign of the Bible in great Woodstreet,London,"O.T.; Sermons.; Bible.; 17th century.; Early works to 1800.; Romans XIII, 4; Church and state; Sermons, English; N.T.; Ecclesiastes XII, 7",1647
A81333,R206007,D1094,"The true speech delivered on the scaffold by Iames Earl of Derby, in the market-place at Boulton in Lancashire, on vvednesday last, being the 15. of this instant October, 1651. With the manner of his deportment and carrage on the scaffold: his speech concerning the King of Scots. And his prayer immediately before his head was severed from his body. As also his declaration and desires to the people. Likewise, the manner how the King of Scots took shipping at Graves-end, on the fourth of this instant October, with Captain Hind, disguised in sea-mens apparel, and safely arrived at the Hague in Holland. Published by Authority.","Derby, James Stanley, Earl of, 1607-1651.",Printed for Robert Eles for general satisfaction to the people,London,"Commonwealth and Protectorate, 1649-1660; Great Britain; History; Hind, James, d. 1652.; King of England, 1630-1685.; II,; Earl of, 1689-1776.; Derby, Edward Stanley,; Charles; Early works to 1800.",1651
A81250,R22888,C839,"The root of apostacy, and fountain of true fortitude. Delivered in a sermon before rhe [sic] Honourable House of Commons, on their late day of thanks-giving for the great victory given to Sir William Waller and the forces with him, against the army of Sir Ralph Hopton. By Thomas Case, Preacher at Milk-street, London, and one of the Assembly of Divines.","England and Wales. Parliament. House of Commons.; Case, Thomas, 1598-1682.",Printed by J R for Luke Fawne and are to be sold at his shop in Pauls Churchyard at the signe of the Parrot,London,"Great Britain; Waller, William,; O.T.; History; Hopton, Ralph Hopton,; 17th Century.; Sir, 1597?-1668; Sermons; Sermons.; Bible.; Daniel XI, 32; Baron, 1598-1652; Sermons, English; Civil War, 1642-1649; Early works to 1800.",1644
A80872,R228995,C7038A,"A discourse of spiritual blessings or a discovery I. That every Christian is blessed with all spiritual blessings in Christ. In four sermons. II. That God hath a high account of the least grace in the saints. In three sermons. By Mr. John Cromwell, late pastor of a church of Christ in the city of Norwich.","Cromwell, John, 1632 or 3-1685.",printed by T S for Edward Giles bookseller in Norwich near the Market place,London,"17th century.; Sermons, English",1685
A87151,R4871,H875,"A sermon preached to the honorable House of Commons assembled in Parliament, at a publike fast, May, 25. 1642. By Robert Harris, Batchelor of Divinity and Pastor of Hanwell. Oxon. Published by order of that House.","England and Wales. Parliament. House of Commons.; Harris, Robert, 1581-1658.",Printed by M F for Iohn Bartlet and are to be sold at the gilt Cup neere S Austins gate in Pauls Church yard,London,"Great Britain; History; Fast-day sermons; Luke XVIII, 6-8; Sermons; Bible.; 17th century.; Early works to 1800.; Civil War, 1642-1649; N.T.",1642
A80485,R222501,C614A,"A sermon preached at the assizes in Salisbury upon Saturday, July 23. 1653 By Henry Carpenter, vicar of Steeple-Ashton in Wiltshire.","Carpenter, Henry, 1605 or 6-1662.",printed by John Macock for Octavian Pullen and are to be sold at the sign of the Rose in Pauls Church yard,London,"17th century.; Sermons, English",1653
A88580,R202772,L3145,"The combate between the flesh and spirit. As also the wofull with-drawing of the Spirit of God, with the causes thereof: and walking in, and after the Spirit, together with the blessednesse thereof. Being the summe and substance of XXVII. sermons: preached a little before his death, by that faithfull servant of Christ, Mr. Christopher Love, late minister of the Gospel at Lawrence Jury London. To which is added the Christians directory tending to direct him in the various conditions that God may cast him into. In XV. sermons.","Love, Christopher, 1618-1651.",Printed by T R E M for John Rothwell at the Fountain and Bear in Goldsmiths row in Cheapside,London,"17th century.; Sermons, English",1654
